2177,7,8,15,30,34
2176,14,21,22,23,26
2175,15,23,25,30,34
2174,10,14,26,28,34
2173,2,4,15,17,34
2172,12,14,19,29,34
2171,5,8,18,20,23
2170,3,19,27,30,35
2169,7,8,12,19,34
2168,2,4,23,35,36
2167,1,3,7,23,28
2166,3,11,13,17,22
2165,2,5,19,22,36
2164,9,11,18,24,30
2163,3,9,13,14,27
2162,6,15,16,18,33
2161,4,14,23,25,29
2160,18,25,27,34,35
2159,1,6,9,34,36
2158,3,8,13,16,25
2157,3,13,21,25,27
2156,14,15,26,29,35
2155,3,9,25,31,36
2154,3,4,9,14,20
2153,6,11,27,31,36
2152,3,9,23,24,27
2151,4,13,21,26,31
2150,4,10,12,14,36
2149,13,15,19,24,31
2148,3,5,8,12,18
2147,7,9,12,14,34
2146,2,7,14,20,34
2145,1,16,26,30,35
2144,5,14,19,34,36
2143,10,11,18,30,35
2142,5,12,16,17,22
2141,3,8,9,30,35
2140,13,16,20,26,27
2139,13,14,20,24,35
2138,6,12,13,18,34
2137,2,3,5,23,30
2136,11,14,24,25,34
2135,8,23,27,28,33
2134,2,11,18,29,30
2133,3,10,28,33,35
2132,2,5,33,34,35
2131,1,11,18,21,33
2130,2,13,18,22,23
2129,2,15,27,31,34
2128,1,2,6,21,24
2127,3,18,22,32,36
2126,7,16,23,25,36
2125,7,20,26,27,28
2124,1,16,20,23,33
2123,3,13,17,19,27
2122,1,11,20,33,35
2121,21,23,30,31,36
2120,8,9,11,19,32
2119,1,5,13,22,26
2118,2,12,24,32,34
2117,2,8,10,11,31
2116,11,18,22,24,36
2115,6,7,11,12,36
2114,11,14,16,18,34
2113,6,9,19,31,36
2112,7,22,25,31,35
2111,8,22,30,32,34
2110,1,2,11,17,25
2109,7,17,25,26,36
2108,2,5,12,30,36
2107,7,12,18,25,35
2106,1,10,27,30,32
2105,13,19,23,26,29
2104,13,18,22,29,33
2103,23,31,32,34,35
2102,3,23,30,31,33
2101,6,11,17,26,31
2100,15,17,26,28,32
2099,10,13,23,25,30
2098,10,12,24,29,31
2097,4,5,18,19,34
2096,7,23,26,34,35
2095,11,15,16,18,19
2094,2,7,18,26,27
2093,3,5,7,9,12
2092,3,12,18,33,35
2091,12,15,26,28,35
2090,9,18,22,26,30
2089,1,2,9,34,36
2088,5,9,15,19,35
2087,2,11,17,26,33
2086,1,3,15,20,29
2085,3,7,21,27,30
2084,7,10,12,17,36
2083,8,9,10,30,33
2082,4,12,15,20,33
2081,8,12,16,29,34
2080,4,6,9,30,35
2079,1,9,31,32,33
2078,27,29,30,33,35
2077,3,12,13,15,36
2076,6,9,12,26,33
2075,18,23,24,25,27
2074,12,13,14,29,33
2073,10,12,17,21,22
2072,1,5,6,25,27
2071,4,5,20,23,25
2070,4,17,22,28,34
2069,15,17,20,21,30
2068,4,7,26,29,34
2067,13,20,26,31,34
2066,10,15,18,19,27
2065,7,11,17,18,36
2064,1,7,9,31,34
2063,11,18,19,20,29
2062,10,16,20,21,26
2061,7,11,21,25,27
2060,2,17,26,31,34
2059,3,5,20,23,36
2058,1,4,14,26,36
2057,8,19,21,22,33
2056,1,14,17,24,26
2055,1,4,11,23,31
2054,8,22,24,34,36
2053,3,16,19,28,35
2052,8,10,20,25,26
2051,5,14,16,22,32
2050,3,18,32,33,35
2049,4,5,16,31,33
2048,3,6,7,33,36
2047,7,16,17,22,25
2046,1,6,20,21,26
2045,6,12,13,15,35
2044,12,13,15,30,35
2043,3,21,25,32,35
2042,3,7,10,12,18
2041,4,5,10,25,31
2040,12,15,22,23,28
2039,6,13,23,29,35
2038,6,10,19,25,35
2037,6,10,16,23,36
2036,3,14,25,31,32
2035,6,9,22,24,27
2034,18,19,23,32,35
2033,5,11,21,26,36
2032,2,6,16,30,32
2031,2,13,16,19,22
2030,2,4,13,24,29
2029,8,9,12,21,24
2028,3,13,16,33,36
2027,12,22,23,30,32
2026,1,8,10,21,28
2025,10,15,16,18,21
2024,12,22,33,34,35
2023,2,4,9,13,15
2022,13,15,19,23,35
2021,2,6,18,22,27
2020,6,8,18,29,32
2019,8,11,12,14,21
2018,13,17,20,29,33
2017,1,5,10,19,22
2016,15,18,20,22,36
2015,10,12,14,22,24
2014,1,15,26,29,30
2013,3,8,10,34,35
2012,7,8,14,15,17
2011,5,8,16,27,28
2010,1,11,19,28,30
2009,2,16,23,26,36
2008,2,7,15,18,22
2007,17,18,20,25,26
2006,2,16,18,24,31
2005,4,10,19,25,26
2004,1,5,6,27,32
2003,5,23,26,32,36
2002,7,15,22,24,35
2001,3,22,25,26,34
2000,5,13,15,21,27
1999,8,11,14,15,20
1998,1,2,15,16,21
1997,25,28,29,31,34
1996,2,7,13,31,36
1995,9,10,17,20,30
1994,6,7,10,13,27
1993,3,4,17,22,25
1992,5,11,13,19,35
1991,2,9,13,27,29
1990,7,12,18,25,34
1989,4,10,11,27,34
1988,4,14,19,20,33
1987,1,14,15,19,25
1986,3,10,18,21,26
1985,7,10,17,20,34
1984,7,9,17,26,34
1983,1,7,8,15,22
1982,9,13,24,28,31
1981,3,7,17,22,31
1980,1,2,13,25,32
1979,1,2,12,30,34
1978,3,12,15,16,33
1977,2,7,17,24,28
1976,3,5,25,30,34
1975,4,9,11,28,32
1974,6,7,13,25,34
1973,6,8,21,22,26
1972,2,8,14,27,36
1971,5,6,22,28,34
1970,2,8,12,14,26
1969,1,6,23,30,31
1968,6,26,30,32,36
1967,3,5,22,32,35
1966,12,16,17,19,33
1965,3,6,15,16,18
1964,5,9,20,25,26
1963,3,21,23,27,35
1962,3,8,18,26,31
1961,19,27,29,32,35
1960,10,16,24,26,36
1959,9,17,23,25,35
1958,2,3,4,19,20
1957,1,5,6,11,32
1956,14,27,32,33,34
1955,1,3,6,19,20
1954,9,18,24,25,33
1953,25,27,31,33,36
1952,1,21,23,27,32
1951,2,6,17,19,35
1950,11,17,18,32,33
1949,6,9,11,24,36
1948,6,25,27,31,33
1947,20,22,25,27,29
1946,8,10,12,14,18
1945,1,12,18,27,34
1944,1,10,11,15,35
1943,2,4,17,25,26
1942,6,11,20,21,30
1941,10,24,25,29,33
1940,2,16,20,31,35
1939,16,17,20,21,35
1938,5,12,18,21,26
1937,4,9,17,23,24
1936,2,5,16,23,27
1935,9,10,12,15,24
1934,14,16,20,21,29
1933,18,19,24,34,36
1932,6,19,27,28,33
